PTC1	PTC2	PTC3	PTC4	PTC5
438.479058ms	400.866216ms	405.195278ms	398.812791ms	407.838919ms
388.931427ms	401.997937ms	430.09414ms	403.019477ms	404.684899ms
382.170866ms	410.301179ms	401.192655ms	394.759877ms	406.609455ms
580.529483ms	403.238051ms	503.627374ms	406.342316ms	405.565665ms
370.747264ms	411.145834ms	399.585356ms	400.986249ms	425.148402ms
368.083191ms	410.201199ms	403.423751ms	410.389182ms	474.673591ms
389.628403ms	408.479829ms	401.672152ms	404.263388ms	417.788969ms
372.644243ms	393.633409ms	411.522753ms	409.340966ms	411.726815ms
374.140675ms	428.217221ms	415.590728ms	410.835788ms	406.888055ms
371.310321ms	400.910986ms	402.423907ms	412.37033ms	419.307308ms
379.77598ms	430.098798ms	416.178745ms	424.075236ms	408.304975ms
368.139121ms	402.769644ms	414.421454ms	458.265641ms	404.33285ms
380.806592ms	424.627121ms	403.818189ms	411.083446ms	406.706056ms
376.429871ms	413.06584ms	406.234713ms	396.724084ms	408.629053ms
369.520662ms	454.77827ms	405.615078ms	404.673367ms	404.092831ms
382.747722ms	391.77112ms	457.899291ms	398.258094ms	422.058211ms
566.960082ms	392.398315ms	394.847883ms	404.311307ms	421.234257ms
380.368747ms	400.184789ms	397.259127ms	407.561748ms	428.281024ms
363.589477ms	402.292125ms	404.357415ms	468.972984ms	407.123294ms
367.054887ms	528.661361ms	453.891293ms	418.296412ms	420.634239ms
388.207961ms	393.45314ms	413.41882ms	409.706024ms	436.231223ms
375.029039ms	411.230992ms	404.857942ms	405.641988ms	452.746102ms
373.906425ms	404.076415ms	397.630826ms	401.930892ms	475.480425ms
378.102779ms	402.277136ms	415.249829ms	427.648035ms	414.985593ms
373.789774ms	406.027893ms	400.11578ms	427.320886ms	410.714991ms
377.766732ms	400.905885ms	411.356652ms	401.683773ms	411.620295ms
370.129578ms	412.93413ms	414.681671ms	415.299888ms	407.091422ms
383.570886ms	394.53622ms	418.925075ms	402.669967ms	427.615307ms
395.601155ms	444.5434ms	395.148818ms	418.462319ms	415.132992ms
412.410632ms	411.852286ms	401.064814ms	406.472913ms	483.005428ms
383.043819ms	405.246227ms	458.884773ms	411.564211ms	414.756505ms
371.806668ms	447.232253ms	408.937836ms	404.719994ms	405.9052ms
370.518576ms	404.230113ms	404.619772ms	398.014405ms	403.974699ms
372.794562ms	412.258344ms	398.920866ms	405.803077ms	414.665406ms
383.037989ms	406.803789ms	413.380489ms	406.458303ms	415.860087ms
