PTC1	PTC2	PTC3	PTC4	PTC5
7.029449ms	11.057341ms	16.860221ms	13.453346ms	16.203417ms
3.145458ms	839.943µs	960.174µs	1.778608ms	769.533µs
5.749311ms	767.774µs	880.963µs	923.074µs	778.845µs
3.676142ms	734.226µs	850.534µs	633.275µs	657.144µs
3.205849ms	570.456µs	775.355µs	774.395µs	599.876µs
3.363716ms	588.987µs	687.005µs	1.125211ms	638.835µs
3.805453ms	557.156µs	707.626µs	643.566µs	711.046µs
2.95881ms	644.655µs	778.584µs	725.665µs	591.756µs
3.003618ms	539.107µs	929.214µs	794.376µs	551.567µs
2.91857ms	621.907µs	663.004µs	873.083µs	764.825µs
4.500539ms	705.305µs	806.465µs	772.275µs	587.217µs
2.900109ms	621.905µs	741.195µs	640.875µs	627.715µs
2.93578ms	667.525µs	713.675µs	712.115µs	517.188µs
2.946039ms	566.735µs	631.965µs	706.755µs	547.006µs
2.902189ms	598.505µs	821.984µs	1.882587ms	557.336µs
3.676923ms	597.736µs	568.196µs	970.582µs	562.467µs
2.504842ms	648.136µs	667.945µs	589.617µs	542.136µs
2.631471ms	586.316µs	544.436µs	760.405µs	667.764µs
3.035649ms	478.525µs	642.036µs	718.264µs	593.885µs
3.870533ms	522.477µs	596.515µs	637.044µs	534.406µs
2.379523ms	633.075µs	740.875µs	658.217µs	551.066µs
3.321637ms	533.727µs	532.756µs	613.365µs	521.345µs
3.364567ms	537.137µs	692.395µs	721.555µs	510.617µs
2.941109ms	498.405µs	642.445µs	530.816µs	543.107µs
4.860544ms	497.917µs	659.226µs	689.504µs	626.776µs
2.90232ms	571.556µs	739.475µs	585.926µs	597.166µs
2.358414ms	506.867µs	721.374µs	572.006µs	530.285µs
4.669309ms	442.828µs	595.396µs	584.596µs	538.857µs
2.483802ms	604.447µs	669.245µs	571.174µs	555.667µs
4.473619ms	544.116µs	644.667µs	624.086µs	558.885µs
2.533352ms	529.177µs	729.394µs	669.165µs	536.777µs
2.576271ms	533.207µs	576.496µs	641.097µs	586.196µs
2.613351ms	586.595µs	662.406µs	616.795µs	531.656µs
4.677056ms	573.426µs	555.396µs	587.126µs	435.858µs
2.86424ms	604.336µs	605.305µs	601.975µs	558.456µs
2.324503ms	511.056µs	608.744µs	565.586µs	510.215µs
2.91072ms	1.463319ms	529.457µs	593.746µs	499.767µs
3.923812ms	556.267µs	568.846µs	607.864µs	511.215µs
2.70108ms	630.026µs	709.467µs	574.345µs	498.527µs
2.610282ms	744.215µs	721.925µs	604.646µs	484.476µs
2.498531ms	520.377µs	554.628µs	553.996µs	561.667µs
3.368827ms	591.286µs	728.774µs	566.585µs	515.257µs
3.329597ms	542.747µs	682.285µs	665.355µs	529.686µs
2.965648ms	608.986µs	616.035µs	565.746µs	517.416µs
2.759801ms	638.466µs	686.785µs	567.167µs	540.146µs
3.331887ms	510.656µs	689.796µs	683.306µs	518.058µs
2.713172ms	652.846µs	640.595µs	623.966µs	532.716µs
2.79058ms	530.196µs	600.906µs	509.736µs	592.716µs
3.120938ms	497.537µs	657.694µs	696.445µs	525.336µs
2.714061ms	624.855µs	510.137µs	624.026µs	563.826µs
5.6575ms	506.817µs	541.965µs	526.267µs	540.507µs
2.86411ms	605.706µs	577.116µs	716.776µs	535.816µs
3.016728ms	526.055µs	596.545µs	555.876µs	536.728µs
2.581832ms	530.727µs	614.706µs	543.156µs	753.843µs
3.375186ms	559.387µs	592.027µs	531.876µs	652.316µs
2.953331ms	608.176µs	588.346µs	547.165µs	531.336µs
2.925229ms	606.935µs	632.825µs	579.636µs	697.096µs
2.312193ms	540.796µs	529.676µs	580.276µs	620.936µs
3.080938ms	645.846µs	683.066µs	573.567µs	535.145µs
4.010412ms	659.835µs	683.826µs	485.416µs	556.796µs
3.274976ms	562.737µs	699.975µs	589.025µs	820.664µs
2.554763ms	640.016µs	597.385µs	528.375µs	637.276µs
2.480554ms	479.566µs	620.304µs	488.516µs	601.075µs
4.531947ms	528.488µs	591.727µs	644.086µs	596.185µs
2.765311ms	571.726µs	764.464µs	532.587µs	537.956µs
2.94628ms	549.356µs	546.736µs	876.034µs	605.996µs
3.232117ms	637.395µs	762.855µs	660.064µs	576.396µs
2.691712ms	559.907µs	589.836µs	639.815µs	659.126µs
2.472683ms	465.027µs	643.056µs	592.897µs	658.747µs
5.515822ms	597.495µs	689.246µs	653.784µs	727.734µs
2.395253ms	606.326µs	655.185µs	649.204µs	633.115µs
3.933791ms	528.876µs	603.815µs	674.245µs	644.156µs
2.87243ms	530.977µs	591.436µs	692.835µs	647.635µs
2.520003ms	629.216µs	530.946µs	696.275µs	663.525µs
2.474092ms	512.746µs	539.286µs	641.616µs	583.636µs
3.621366ms	608.516µs	517.877µs	649.215µs	532.537µs
2.94067ms	618.185µs	498.366µs	553.756µs	571.056µs
